hello     23:26:44 21 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
<class 'sqlite3.OperationalError'>     00:37:42 26 Nov
check_page_record except:<class 'sqlite3.ProgrammingError'>     22:30:17 09 Dec
check_page_record except:<class 'sqlite3.ProgrammingError'>     22:30:17 09 Dec
check_page_record except:<class 'sqlite3.ProgrammingError'>     22:30:17 09 Dec
check_page_record except:<class 'sqlite3.ProgrammingError'>     22:30:17 09 Dec
check_page_record except:<class 'sqlite3.ProgrammingError'>     22:30:17 09 Dec
check_page_record except:<class 'sqlite3.ProgrammingError'>     22:30:17 09 Dec
check_page_record except:<class 'sqlite3.ProgrammingError'>     22:30:17 09 Dec
check_page_record except:<class 'sqlite3.ProgrammingError'>     22:30:17 09 Dec
